constant,owner,current_value,units,source_file,source_symbol_or_line,empirical_support,proposed_value,confidence,production_readiness,action
arc_track_width_tight_value,Vehicle,0.13235,m,MazeMap/MazeMap/Vehicle.h,kArcTrackWidthTightTrackWidthM,"Source comment says one April 20 2026 post-fan-swap open-floor smooth card implied 132.35 mm effective track; only one usable card.",,low,"provisional only","Do not generalize; collect repeated current-schema smooth arcs."
arc_track_width_wide_radius,Vehicle,0.153,m,MazeMap/MazeMap/Vehicle.h,kArcTrackWidthWideRadiusM,"Anchor radius for one post-fan-swap smooth-card fit.",,low,"not production-final","Rerun symmetric smooth-turn/arc audits at multiple radii."
arc_track_width_wide_value,Vehicle,0.13235,m,MazeMap/MazeMap/Vehicle.h,kArcTrackWidthWideTrackWidthM,"Same single-card value reused for wide radius; no independent wide-radius characterization.",,low,"provisional only","Do not generalize; collect repeated current-schema smooth arcs."
drive_wheel_diameter,Vehicle,0.025220,m,MazeMap/MazeMap/Vehicle.h,kDriveWheelDiameterM,"March 22 2026 low-speed straight-audit rolling trim; source note says supplied tire OD is 25.000 mm and this should be revisited after post-estimator encoder-distance audit.",,medium_low,"provisional rolling calibration","Do not treat as physical OD; rerun measured-distance closure with current estimator/logging."
drive_wheel_radius,Vehicle,0.012610,m,derived,0.5*kDriveWheelDiameterM,"Derived from current wheel diameter.",,medium_low,"depends on provisional wheel diameter","Update only after wheel diameter/rolling circumference is verified."
encoder_pulses_per_motor_rev,Vehicle,4096,count/rev,MazeMap/MazeMap/Vehicle.h,kDriveEncoderPulsesPerRev,"Hardware specification.",,high,"usable now","No change unless hardware changes."
drive_gear_ratio,Vehicle,3.294117647,ratio,MazeMap/MazeMap/Vehicle.h,kDriveGearRatio = 56/17,"Hardware tooth-count specification.",,high,"usable now","No change unless hardware changes."
encoder_distance_per_count,Vehicle,0.000005872133,m/count,derived,pi*diameter/(gear*ppr),"Derived from current provisional wheel diameter, gear ratio, and encoder PPR.",,medium_low,"depends on wheel diameter","Rerun straight measured-distance calibration before changing."
drive_nominal_voltage,Vehicle,6.0,V,MazeMap/MazeMap/Vehicle.h,kDriveNominalVoltageV,"Motor spec input used to derive speed constant.",,medium,"spec default","Bench validate if motor model accuracy matters."
drive_supply_voltage,Vehicle,8.4,V,MazeMap/MazeMap/Vehicle.h,kDriveSupplyVoltageV,"Battery/supply model value; not per-row measured characterization.",,medium_low,"usable as nominal default only","Use logged/measured battery voltage for final torque characterization."
drive_resistance,MotorEncoderDrive,4.31,ohm,MazeMap/MazeMap/Vehicle.h -> MotorEncoderDrive,kDriveResistanceOhms,"Likely motor spec; no hot/cold bench validation found.",,medium_low,"spec default; not empirically characterized","Measure resistance hot/cold and under wiring path."
drive_torque_constant,MotorEncoderDrive,0.00396,Nm/A,MazeMap/MazeMap/Vehicle.h -> MotorEncoderDrive,kDriveTorqueConstantNmPerA,"Likely motor spec; no torque/current bench validation found.",,medium_low,"spec default; not empirically characterized","Bench torque/current characterization."
drive_no_load_current,MotorEncoderDrive,0.0459,A,MazeMap/MazeMap/Vehicle.h -> MotorEncoderDrive,kDriveNoLoadCurrentA,"Likely motor spec; no current bench validation found.",,medium_low,"spec default; not empirically characterized","Measure no-load current through actual driver/battery path."
drive_speed_constant,MotorEncoderDrive,254.482080,rad/s/V,derived,ComputeMotorSpeedConstantRadpsPerVolt,"Derived from 14100 rpm at 6 V, no-load current, and resistance.",,medium_low,"derived spec default","Bench no-load speed vs voltage."
wheel_bank_equivalent_inertia,MotorEncoderDrive,0.000001177,kg*m^2,MazeMap/MazeMap/MotorEncoderDrive.h,kDefaultWheelBankEquivalentInertiaKgM2,"Source comment says first-pass two tire plus rotor reflected through gearing; hub and gear inertia not included.",,low,"insufficient for final physical model","Measure or compute complete wheel-bank inertia including hub/gears."
longitudinal_tire_stiffness,MotorEncoderDrive,4.12,N,MazeMap/MazeMap/MotorEncoderDrive.h,kDefaultLongitudinalTireStiffnessN,"Derived from solid-rubber contact note; comment arithmetic is internally inconsistent with stated contact length and normal force.",,low,"insufficient/provisional","Bench force-deflection and rolling contact stiffness."
front_right_contact_force_gain,MotorEncoderDrive,18.0,N/(m/s),MazeMap/MazeMap/MotorEncoderDrive.h,kDefaultFrontRightContactForceGainNPerMps,"Source comment says April 2026 open-floor right-slip logs fit front right-direction contact-force gain.",,medium_low,"provisional","Validate across yaw signs, forward speeds, fan loads, and held-out runs."
rear_right_contact_force_gain,MotorEncoderDrive,16.0,N/(m/s),MazeMap/MazeMap/MotorEncoderDrive.h,kDefaultRearRightContactForceGainNPerMps,"Source comment says April 2026 open-floor right-slip logs fit rear right-direction contact-force gain.",,medium_low,"provisional","Validate across yaw signs, forward speeds, fan loads, and held-out runs."
fan_downforce_full_duty,Vehicle,0.7,N,MazeMap/MazeMap/Vehicle.h,kFanDownforceAtFullDutyN,"Used as force-envelope input; reviewed fan-filter work characterizes vibration frequency at 0.8 duty, not downforce magnitude.",,medium_low,"provisional envelope input","Measure fan downforce vs duty after fan/skirt changes."
sustained_lateral_accel_reference,Vehicle,18.7287,m/s^2,MazeMap/MazeMap/Vehicle.h,GetSustainedLateralAccelerationReferenceMps2 = 1.91*g,"Source comment says inclined-ramp slip begins at about 63.2 degrees, roughly 1.91 g sustained lateral hold.",,medium,"usable planning reference but not complete force envelope","Repeat traction envelope by fan duty and surface/tire state."
peak_forward_acceleration,Vehicle.cpp,15.0,m/s^2,MazeMap/MazeMap/Vehicle.cpp,kVehiclePeakForwardAccelerationMps2,"Source comment says forward acceleration is provisional until direct forward-traction characterization.",,low,"not production-characterized","Run direct forward traction/top-speed characterization."
peak_yaw_rate,Vehicle.cpp,27.0,rad/s,MazeMap/MazeMap/Vehicle.cpp,kVehiclePeakYawRateRadps,"Runtime ceiling/tuning value; not a physical characterization output.",,low,"provisional","Validate with controlled yaw-rate sweeps."
peak_yaw_acceleration,Vehicle.cpp,645.0,rad/s^2,MazeMap/MazeMap/Vehicle.cpp,kVehiclePeakYawAccelRadps2,"Runtime ceiling/tuning value; yaw-launch initial slopes are far lower in reviewed data and do not validate this as a physical limit.",,low,"provisional","Validate with controlled yaw launch and saturation-aware logs."
max_speed,Vehicle.cpp,4.0,m/s,MazeMap/MazeMap/Vehicle.cpp,kVehicleMaxSpeedMps,"Source comment says top-speed characterization is incomplete.",,low,"provisional","Run top-speed characterization if changing."
plant_residual_decay_tau_forward,PlantModel,0.075,s,MazeMap/MazeMap/PlantModel.h,kForwardAccelerationResidualDecayTauS,"Estimator/plant residual decay tuning; not Vehicle construction fact.",,low,"not a physical Vehicle constant","Do not update from Vehicle audit; validate in estimator/PlantModel tuning."
plant_residual_decay_tau_right,PlantModel,0.075,s,MazeMap/MazeMap/PlantModel.h,kRightAccelerationResidualDecayTauS,"Estimator/plant residual decay tuning; not Vehicle construction fact.",,low,"not a physical Vehicle constant","Do not update from Vehicle audit; validate in estimator/PlantModel tuning."
plant_residual_decay_tau_yaw,PlantModel,0.075,s,MazeMap/MazeMap/PlantModel.h,kYawAccelResidualDecayTauS,"Estimator/plant residual decay tuning; yaw-launch recovery tau around 16-17 ms suggests current residual dynamics are not final.",,low,"not production-final physical characterization","Fit only after filtered held-out validation across regimes."
rolling_friction_torque,PlantModel,0.00372,Nm,MazeMap/MazeMap/PlantModel.h,kRollingFrictionTorqueNm,"Appears in PlantModel mirror and logs; no independent bench characterization found here.",,low,"provisional","Measure wheel-bank rolling drag and validate in launch/coast logs."
reliable_launch_drive_command,PlantModel,0.30,normalized command,MazeMap/MazeMap/PlantModel.h,kReliableLaunchDriveCommand,"Used to derive static friction torque proxy; yaw-launch breakaway observed nearer 0.61 CW and 0.65 CCW for sustained yaw, so this is not a full breakaway characterization.",,low,"provisional model threshold","Do not treat as physical breakaway; fit smooth breakaway model from targeted runs."
static_friction_speed_threshold,PlantModel,0.005,m/s,MazeMap/MazeMap/PlantModel.h,kStaticFrictionMaxSpeedMps,"Low-speed threshold for static friction model; no direct bench/log characterization found.",,low,"provisional","Fit low-speed bristle/static transition with controlled twitch and rolling tests."
viscous_friction,PlantModel,0.0,Nm/(rad/s),MazeMap/MazeMap/PlantModel.h,kViscousFrictionNmPerRadps,"Scalar yaw/drive viscous damping set to zero; expanded residuals show non-monotonic behavior, so a one-term damping update is not acceptable.",,low,"not characterized","Do not add scalar damping without shape validation."
right_velocity_damping,PlantModel,0.0,N*s/m,MazeMap/MazeMap/PlantModel.h,kRightVelocityDampingNsPerM,"Set to zero; no sufficient lateral velocity measurement support in reviewed logs.",,low,"not characterized","Requires lateral velocity/contact-relative-velocity data."
contact_yaw_patch_force_gain,PlantModel,0.0,N*s/m,MazeMap/MazeMap/PlantModel.h,kContactYawPatchForceGainNsPerM,"New experimental contact-yaw coefficient is neutralized and explicitly excluded from this audit focus.",,not_applicable,"not in scope","Leave neutral unless separate validated task reopens it."
front_load_fraction,PlantModel,0.5,fraction,MazeMap/MazeMap/PlantModel.h,kFrontLoadFraction,"Static equal front/rear load assumption; no load-transfer/downforce split characterized here.",,low,"provisional","Measure/static-dynamic load distribution if contact model depends on it."
mu_front,PlantModel,1.65,coefficient,MazeMap/MazeMap/PlantModel.h,kMuFront,"Force-envelope assumption; ramp reference suggests high grip but not front-specific coefficient.",,low,"provisional","Run fan/load/surface traction tests."
mu_rear,PlantModel,1.65,coefficient,MazeMap/MazeMap/PlantModel.h,kMuRear,"Force-envelope assumption; ramp reference suggests high grip but not rear-specific coefficient.",,low,"provisional","Run fan/load/surface traction tests."
scalar_fit_track_width_rejected,Vehicle_candidate,0.104595474,m,codex_analysis/yaw_fit/yaw_fit_report.md,proposed/fitted Vehicle::track_width_m,"Improved narrow in-place one-step RMSE but reconciliation rejected it as absorbing missing yaw resistance rather than measuring physical track.",,none,"not usable","Do not install."
scalar_fit_yaw_inertia_rejected,Vehicle_candidate,0.000603133,kg*m^2,codex_analysis/yaw_fit/yaw_fit_report.md,proposed/fitted Vehicle::yaw_inertia_kg_m2,"Improved narrow in-place one-step RMSE but reconciliation rejected it as absorbing missing yaw resistance rather than measuring physical inertia.",,none,"not usable","Do not install."
yaw_launch_command_to_gyro_delay,PlantModel_dynamic_evidence,0.004,s,codex_analysis/full_impulse_response_characterization/step_kernels/compact_model_parameter_ranges.csv,input_to_gyro_timing,"Filtered yaw-launch evidence supports primary 4 ms timing and 5 ms derivative/onset sanity; this is dynamic timing, not Vehicle geometry.",,medium,"usable as analysis evidence; not Vehicle constant","Use only in PlantModel/system-ID work after held-out filtered rerun."
yaw_launch_breakaway_cw,PlantModel_dynamic_evidence,0.610,normalized command,codex_analysis/full_impulse_response_characterization/step_kernels/compact_model_parameter_ranges.csv,breakaway_sustained_resistance,"CW sustained breakaway near command 0.610; sign asymmetry exists.",,medium_low,"provisional dynamic evidence","Requires repeated filtered rerun and motor/contact asymmetry tests."
yaw_launch_breakaway_ccw,PlantModel_dynamic_evidence,0.650,normalized command,codex_analysis/full_impulse_response_characterization/step_kernels/compact_model_parameter_ranges.csv,breakaway_sustained_resistance,"CCW sustained breakaway near command 0.650; sign asymmetry exists.",,medium_low,"provisional dynamic evidence","Requires repeated filtered rerun and motor/contact asymmetry tests."
fan_vibration_frequency_0p8_duty,analysis_evidence,149.2,Hz,codex_analysis/full_impulse_response_characterization/fan_filter/fan_vibration_filter_report.md,Dominant Fan/Vibration Components,"Stationary fan/vibration line at fan duty 0.8; useful preprocessing fact, not physical Vehicle constant.",,medium,"usable for offline identification preprocessing","Re-estimate for other fan duties."
